key_number,helmholtz_name,scientific_name,frequency,violin,viola,cello,bass,guitar
108,b′′′′′,B8,7902.133,,,,,
107,a#′′′′′/bb′′′′′,A#8/Bb8,7458.620,,,,,
106,a′′′′′,A8,7040.000,,,,,
105,g#′′′′′/ab′′′′′,G#8/Ab8,6644.875,,,,,
104,g′′′′′,G8,6271.927,,,,,
103,f#′′′′′/gb′′′′′,F#8/Gb8,5919.911,,,,,
102,f′′′′′,F8,5587.652,,,,,
101,e′′′′′,E8,5274.041,,,,,
100,d#′′′′′/eb′′′′′,D#8/Eb8,4978.032,,,,,
99,d′′′′′,D8,4698.636,,,,,
98,c#′′′′′/db′′′′′,C#8/Db8,4434.922,,,,,
88,c′′′′′ 5-line octave,C8 Eighth octave,4186.009,,,,,
87,b′′′′,B7,3951.066,,,,,
86,a#′′′′/bb′′′′,A#7/Bb7,3729.310,,,,,
85,a′′′′,A7,3520.000,,,,,
84,g#′′′′/ab′′′′,G#7/Ab7,3322.438,,,,,
83,g′′′′,G7,3135.963,,,,,
82,f#′′′′/gb′′′′,F#7/Gb7,2959.955,,,,,
81,f′′′′,F7,2793.826,,,,,
80,e′′′′,E7,2637.020,,,,,
79,d#′′′′/eb′′′′,D#7/Eb7,2489.016,,,,,
78,d′′′′,D7,2349.318,,,,,
77,c#′′′′/db′′′′,C#7/Db7,2217.461,,,,,
76,c′′′′ 4-line octave,C7 Double high C,2093.005,,,,,
75,b′′′,B6,1975.533,,,,,
74,a#′′′/bb′′′,A#6/Bb6,1864.655,,,,,
73,a′′′,A6,1760.000,,,,,
72,g#′′′/ab′′′,G#6/Ab6,1661.219,,,,,
71,g′′′,G6,1567.982,,,,,
70,f#′′′/gb′′′,F#6/Gb6,1479.978,,,,,
69,f′′′,F6,1396.913,,,,,
68,e′′′,E6,1318.510,,,,,
67,d#′′′/eb′′′,D#6/Eb6,1244.508,,,,,
66,d′′′,D6,1174.659,,,,,
65,c#′′′/db′′′,C#6/Db6,1108.731,,,,,
64,c′′′ 3-line octave,C6 Soprano C (High C),1046.502,,,,,
63,b′′,B5,987.7666,,,,,
62,a#′′/bb′′,A#5/Bb5,932.3275,,,,,
61,a′′,A5,880.0000,,,,,
60,g#′′/ab′′,G#5/Ab5,830.6094,,,,,
59,g′′,G5,783.9909,,,,,
58,f#′′/gb′′,F#5/Gb5,739.9888,,,,,
57,f′′,F5,698.4565,,,,,
56,e′′,E5,659.2551,E,,,,
55,d#′′/eb′′,D#5/Eb5,622.2540,,,,,
54,d′′,D5,587.3295,,,,,
53,c#′′/db′′,C#5/Db5,554.3653,,,,,
52,c′′ 2-line octave,C5 Tenor C,523.2511,,,,,
51,b′,B4,493.8833,,,,,
50,a#′/bb′,A#4/Bb4,466.1638,,,,,
49,a′,A4 A440,440.0000,A,A,,,
48,g#′/ab′,G#4/Ab4,415.3047,,,,,
