number,name,alt_name,frequency
108,B8,,7902.133000000001
107,A#8,Bb8,7458.62
106,A8,,7040.0
105,G#8,Ab8,6644.875
104,G8,,6271.927
103,F#8,Gb8,5919.911
102,F8,,5587.651999999999
101,E8,,5274.041
100,D#8,Eb8,4978.032
99,D8,,4698.6359999999995
98,C#8,Db8,4434.9220000000005
88,C8,,4186.009
87,B7,,3951.066
86,A#7,Bb7,3729.31
85,A7,,3520.0
84,G#7,Ab7,3322.438
83,G7,,3135.9629999999997
82,F#7,Gb7,2959.955
81,F7,,2793.8259999999996
80,E7,,2637.02
79,D#7,Eb7,2489.016
78,D7,,2349.3179999999998
77,C#7,Db7,2217.4610000000002
76,C7,,2093.005
75,B6,,1975.533
74,A#6,Bb6,1864.655
73,A6,,1760.0
72,G#6,Ab6,1661.219
71,G6,,1567.9820000000002
70,F#6,Gb6,1479.9779999999998
69,F6,,1396.9129999999998
68,E6,,1318.51
67,D#6,Eb6,1244.508
66,D6,,1174.6589999999999
65,C#6,Db6,1108.731
64,C6,,1046.502
63,B5,,987.7666
62,A#5,Bb5,932.3275
61,A5,,880.0
60,G#5,Ab5,830.6094
59,G5,,783.9909
58,F#5,Gb5,739.9888
57,F5,,698.4565
56,E5,,659.2551
55,D#5,Eb5,622.254
54,D5,,587.3295
53,C#5,Db5,554.3653
52,C5,,523.2511
51,B4,,493.8833
50,A#4,Bb4,466.1638
49,A4,,440.0
48,G#4,Ab4,415.3047
47,G4,,391.9954
46,F#4,Gb4,369.9944
45,F4,,349.2282
44,E4,,329.6276
43,D#4,Eb4,311.127
42,D4,,293.6648
41,C#4,Db4,277.1826
40,C4,,261.6256
39,B3,,246.9417
38,A#3,Bb3,233.0819
37,A3,,220.0
36,G#3,Ab3,207.6523
35,G3,,195.9977
34,F#3,Gb3,184.9972
33,F3,,174.6141
32,E3,,164.8138
31,D#3,Eb3,155.5635
30,D3,,146.8324
29,C#3,Db3,138.5913
28,C3,,130.8128
27,B2,,123.4708
26,A#2,Bb2,116.5409
25,A2,,110.0
24,G#2,Ab2,103.8262
23,G2,,97.99886
22,F#2,Gb2,92.49861
21,F2,,87.30705999999999
20,E2,,82.40689
19,D#2,Eb2,77.78175
18,D2,,73.41619
17,C#2,Db2,69.29566
16,C2,,65.40639
15,B1,,61.735409999999995
14,A#1,Bb1,58.270469999999996
13,A1,,55.0
12,G#1,Ab1,51.913090000000004
11,G1,,48.99943
10,F#1,Gb1,46.2493
9,F1,,43.653529999999996
8,E1,,41.20344
7,D#1,Eb1,38.89087
6,D1,,36.7081
5,C#1,Db1,34.64783
4,C1,,32.7032
3,B0,,30.86771
2,A#0,Bb0,29.135240000000003
1,A0,,27.5
97,G#0,Ab0,25.95654
96,G0,,24.49971
95,F#0,Gb0,23.12465
94,F0,,21.82676
93,E0,,20.60172
92,D#0,Eb0,19.445439999999998
91,D0,,18.35405
90,C#0,Db0,17.32391
89,C0,,16.3516
